1167577768.sd -12.25
DB02024.sd -11.93
DB04279.sd -11.53
DB11831.sd -10.83
DB03854.sd -10.60
1167574504.sd -10.49
DB03733.sd -10.49
DB03795.sd -10.49
DB08845.sd -10.49
1167574945.sd -9.95
DB13212.sd -9.95
DB09050.sd -9.93
1167575433.sd -9.87
DB01672.sd -9.83
1167577595.sd -9.82
DB01753.sd -9.79
DB03454.sd -9.79
DB01462.sd -9.67
DB04983.sd -9.67
1167574891.sd -9.59
DB13138.sd -9.55
DB04409.sd -9.49
1167575076.sd -9.45
DB01774.sd -9.45
DB04074.sd -9.45
DB13025.sd -9.45
1167575100.sd -9.43
DB02319.sd -9.40
DB06756.sd -9.37
DB08397.sd -9.35
DB03946.sd -9.34
1167575428.sd -9.33
1167575620.sd -9.33
DB03680.sd -9.32
DB04301.sd -9.20
DB04553.sd -9.18
DB06711.sd -9.18
DB07268.sd -9.18
1167577320.sd -9.13
DB01763.sd -9.13
DB01149.sd -9.09
1167575674.sd -9.05
DB02309.sd -9.05
DB03644.sd -9.02
1167575061.sd -9.00
DB03304.sd -9.00
1167574905.sd -8.99
1167575048.sd -8.99
DB01750.sd -8.99
DB11588.sd -8.99
DB01705.sd -8.98
DB12846.sd -8.97
DB03229.sd -8.96
1167575728.sd -8.94
DB08836.sd -8.90
1167577603.sd -8.87
DB06770.sd -8.87
1167574758.sd -8.85
1167575035.sd -8.84
DB04103.sd -8.82
1167577557.sd -8.78
1167574889.sd -8.75
DB04455.sd -8.75
DB12939.sd -8.75
DB14144.sd -8.75
1167574397.sd -8.74
DB06152.sd -8.74
DB08513.sd -8.74
1167574755.sd -8.73
DB01762.sd -8.73
DB13366.sd -8.73
1167576001.sd -8.72
DB05590.sd -8.72
1167574875.sd -8.71
DB02736.sd -8.71
DB04665.sd -8.71
DB01103.sd -8.70
DB02923.sd -8.69
DB07022.sd -8.69
1167574481.sd -8.68
1167574499.sd -8.67
1167574820.sd -8.67
DB00448.sd -8.67
DB08491.sd -8.67
DB11184.sd -8.65
DB13717.sd -8.65
DB14511.sd -8.65
1167574593.sd -8.63
1167574796.sd -8.63
DB00672.sd -8.63
DB01942.sd -8.63
DB03797.sd -8.63
DB12617.sd -8.63
1167574240.sd -8.61
DB03079.sd -8.61
DB01792.sd -8.60
1167577449.sd -8.59
DB00823.sd -8.59
DB02119.sd -8.57
DB04259.sd -8.57
DB13354.sd -8.57
1167576064.sd -8.56
DB00936.sd -8.56
DB02079.sd -8.56
DB03560.sd -8.56
DB04129.sd -8.56
DB09313.sd -8.56
DB02732.sd -8.55
DB02500.sd -8.54
DB03300.sd -8.54
DB03461.sd -8.54
DB04213.sd -8.53
DB04242.sd -8.53
DB07816.sd -8.53
DB02498.sd -8.52
1167575668.sd -8.51
DB02967.sd -8.51
DB04461.sd -8.51
1167574856.sd -8.50
DB06823.sd -8.50
1167511869.sd -8.49
DB03186.sd -8.49
DB00883.sd -8.48
DB00173.sd -8.47
DB03227.sd -8.47
1167575379.sd -8.46
DB03593.sd -8.44
DB11279.sd -8.44
DB04068.sd -8.42
1167574603.sd -8.40
DB03826.sd -8.40
DB11640.sd -8.40
1167576008.sd -8.38
1167576004.sd -8.36
DB03514.sd -8.36
DB03893.sd -8.36
1167574882.sd -8.35
DB03478.sd -8.35
DB03962.sd -8.35
DB08502.sd -8.35
1167574460.sd -8.33
DB03166.sd -8.33
DB08652.sd -8.33
DB02048.sd -8.32
DB03493.sd -8.32
DB04789.sd -8.32
DB14879.sd -8.32
DB02581.sd -8.31
DB09134.sd -8.31
DB02897.sd -8.30
DB03128.sd -8.30
DB13490.sd -8.30
DB01860.sd -8.28
DB03568.sd -8.28
DB04400.sd -8.28
DB07292.sd -8.28
DB13578.sd -8.28
1167575283.sd -8.27
DB02338.sd -8.27
DB03435.sd -8.26
DB06178.sd -8.26
DB08838.sd -8.26
DB04214.sd -8.25
DB08118.sd -8.25
DB11100.sd -8.25
DB04205.sd -8.24
1167574477.sd -8.23
DB04264.sd -8.23
DB04651.sd -8.22
1167574195.sd -8.21
1167574214.sd -8.21
1167574471.sd -8.21
1167575734.sd -8.21
1167574855.sd -8.20
DB00532.sd -8.20
DB01755.sd -8.20
DB04367.sd -8.20
1167574793.sd -8.19
DB03164.sd -8.19
DB04071.sd -8.19
DB15232.sd -8.19
1167574186.sd -8.18
1167574554.sd -8.18
DB13005.sd -8.18
DB00961.sd -8.17
DB01156.sd -8.17
DB04201.sd -8.17
DB04401.sd -8.17
1167574532.sd -8.16
DB01752.sd -8.16
DB03458.sd -8.16
DB00952.sd -8.15
DB01975.sd -8.15
DB02829.sd -8.15
DB03213.sd -8.15
DB03358.sd -8.15
1167574805.sd -8.14
DB01165.sd -8.14
DB03793.sd -8.14
DB04322.sd -8.14
DB12757.sd -8.14
1167576013.sd -8.12
DB11664.sd -8.12
DB11871.sd -8.12
1167574172.sd -8.11
1167574520.sd -8.11
DB02145.sd -8.11
DB08005.sd -8.11
1167575431.sd -8.09
DB04482.sd -8.09
DB07418.sd -8.09
1167577760.sd -8.07
DB13967.sd -8.07
DB12138.sd -8.06
DB04491.sd -8.05
DB07351.sd -8.04
DB09076.sd -8.04
DB01908.sd -8.03
DB04442.sd -8.03
DB04514.sd -8.03
DB04860.sd -8.03
DB03155.sd -8.02
DB07760.sd -8.02
DB09157.sd -8.02
DB02802.sd -8.01
DB03376.sd -8.01
1167574524.sd -8.00
1167575054.sd -8.00
DB00244.sd -7.99
DB00619.sd -7.99
DB02232.sd -7.99
1167576072.sd -7.98
1167577590.sd -7.98
DB04395.sd -7.98
DB04421.sd -7.98
DB02830.sd -7.97
DB03829.sd -7.96
DB13211.sd -7.96
1167577253.sd -7.95
DB00122.sd -7.95
DB02573.sd -7.95
DB02704.sd -7.95
DB12028.sd -7.95
1167574237.sd -7.94
DB00171.sd -7.94
DB02726.sd -7.94
DB03326.sd -7.94
DB04272.sd -7.94
DB08301.sd -7.94
DB13016.sd -7.94
